Lat,Lon,Time Range,geartype,Vessel IDs,Apparent Fishing Hours
6.9,128.7,2021,drifting_longlines,1,3.87
15.1,117.8,2021,fishing,1,34.64
21.9,122.7,2021,drifting_longlines,1,6.97
14.6,120.3,2021,drifting_longlines,1,0.89
17.1,116.4,2021,drifting_longlines,1,0.28
13.7,121,2021,inconclusive,1,4.12
19.8,122.9,2021,drifting_longlines,1,7.25
18.7,118.2,2021,drifting_longlines,1,19.98
21.4,122.3,2021,drifting_longlines,1,11.23
14.8,120.2,2021,tuna_purse_seines,1,0.13
20.4,123.1,2021,drifting_longlines,1,5.37
17.4,119.4,2021,tuna_purse_seines,1,4.15
9,116.3,2021,inconclusive,1,6.3
14.6,120.9,2021,inconclusive,3,1734.4
16.7,118.3,2021,tuna_purse_seines,1,3.8
8.8,123.2,2021,inconclusive,1,1.07
11.6,121.8,2021,tuna_purse_seines,1,0.82
14.2,119.7,2021,squid_jigger,1,3.02
20.4,120.1,2021,drifting_longlines,2,5.99
10.2,128.9,2021,drifting_longlines,1,0.98
17.5,117.3,2021,drifting_longlines,1,0
19.8,122.5,2021,drifting_longlines,1,15.22
14.3,120.1,2021,tuna_purse_seines,2,24.91
21.7,122.2,2021,drifting_longlines,2,1.61
17.1,116.5,2021,drifting_longlines,1,1.13
9.9,115.5,2021,inconclusive,1,4.7
15.8,119.6,2021,tuna_purse_seines,1,1.75
20.2,122.4,2021,drifting_longlines,1,5.03
10.6,128.7,2021,drifting_longlines,1,0.9
19.5,122.9,2021,drifting_longlines,1,3.47
15.9,116.6,2021,inconclusive,1,1.9
14.2,120.4,2021,drifting_longlines,1,0.52
17.8,120,2021,tuna_purse_seines,1,5.5
21.2,122.3,2021,drifting_longlines,1,0.77
14.3,119.8,2021,fishing,1,1
21.4,121.8,2021,drifting_longlines,1,1.05
17.4,119.5,2021,tuna_purse_seines,1,3.86
17.6,117.4,2021,drifting_longlines,1,1.31
14.6,120.2,2021,drifting_longlines,1,0.03
6.9,128.5,2021,drifting_longlines,1,4.89
10.7,128.5,2021,drifting_longlines,1,2.09
16.1,116.6,2021,inconclusive,1,1.15
21.9,122.8,2021,drifting_longlines,2,2.92
17.2,119.6,2021,tuna_purse_seines,1,1.95
21.4,122.2,2021,drifting_longlines,2,2.64
13.1,120.4,2021,tuna_purse_seines,1,3.36
13.4,119.9,2021,inconclusive,1,2.31
6,125.1,2021,tuna_purse_seines,1,18.74
19.3,123.1,2021,drifting_longlines,1,4.34
14.1,119.8,2021,tuna_purse_seines,1,1
17.2,119.1,2021,tuna_purse_seines,1,1.82
13.4,120.1,2021,inconclusive,1,1.54
21.2,121.2,2021,drifting_longlines,1,0.97
19.3,122.9,2021,drifting_longlines,1,13.76
6.9,125.6,2021,drifting_longlines,1,1.05
7.1,128.5,2021,drifting_longlines,1,1.07
19.1,122.9,2021,drifting_longlines,1,1.98
21.8,122.3,2021,fishing,1,6.24
21.4,122.6,2021,drifting_longlines,1,2.23
13.2,120.3,2021,tuna_purse_seines,1,8.64
13.6,120.6,2021,inconclusive,1,2.99
19.5,122.7,2021,drifting_longlines,1,16.47
5.6,125,2021,tuna_purse_seines,1,1.52
21.4,122.1,2021,drifting_longlines,1,0.75
18,122.9,2021,drifting_longlines,1,0.51
17.8,117.6,2021,drifting_longlines,1,2.85
7,128.4,2021,drifting_longlines,1,2.38
6,125.2,2021,tuna_purse_seines,1,1.22
18.8,123.9,2021,drifting_longlines,1,11.73
14.2,119.9,2021,tuna_purse_seines,1,3.53
14.6,120.9,2021,drifting_longlines,15,135.17
18.3,119.7,2021,tuna_purse_seines,1,0.89
21.9,122.7,2021,set_longlines,1,1.71
13.6,120.3,2021,inconclusive,1,5.34
19.8,122.3,2021,drifting_longlines,1,11.79
7.2,129.4,2021,drifting_longlines,1,1.95
19.1,122.6,2021,drifting_longlines,1,0.85
18.6,124.4,2021,drifting_longlines,1,3
19.8,120.8,2021,inconclusive,1,6.99
19.1,124.7,2021,drifting_longlines,1,0
21.9,123,2021,drifting_longlines,1,2.47
10.5,128.8,2021,drifting_longlines,1,1.72
17.6,120,2021,tuna_purse_seines,1,5.65
5.2,125.2,2021,tuna_purse_seines,1,1.85
20.4,120.2,2021,drifting_longlines,1,4.15
18.8,118.6,2021,inconclusive,1,1.04
20.9,122.7,2021,drifting_longlines,1,0.25
19.6,122.5,2021,drifting_longlines,1,0.25
14.3,120.2,2021,tuna_purse_seines,2,17.52
19.7,120.6,2021,inconclusive,1,2.87
18.7,119,2021,drifting_longlines,1,9.55
21.2,122.5,2021,drifting_longlines,2,16.78
14.4,120.1,2021,tuna_purse_seines,1,4.72
21.7,123,2021,drifting_longlines,2,1.46
18.4,118.4,2021,drifting_longlines,1,7.25
21.6,122.2,2021,fishing,1,0
19.3,123.3,2021,drifting_longlines,1,10.06
18,119.7,2021,tuna_purse_seines,1,1.05
14.6,120.9,2021,trawlers,4,28.52
18.2,118,2021,drifting_longlines,1,4.07
9,123.2,2021,inconclusive,1,1.16
13.2,120.2,2021,tuna_purse_seines,1,2.06
21.4,121.9,2021,drifting_longlines,1,0.51
14.2,120.3,2021,drifting_longlines,1,1.43
14.5,120.9,2021,trawlers,4,54.01
8.9,123.1,2021,inconclusive,1,1.91
5.6,124.9,2021,tuna_purse_seines,1,1.29
18.8,119.7,2021,tuna_purse_seines,1,6.65
8.8,123.4,2021,inconclusive,1,0.55
19.6,122.6,2021,drifting_longlines,1,5.63
16.9,118.6,2021,tuna_purse_seines,1,2.45
14.3,119.8,2021,squid_jigger,1,1.02
14.5,120.7,2021,inconclusive,1,2
14.4,120,2021,tuna_purse_seines,1,3.5
10.8,128.6,2021,drifting_longlines,1,1.59
14.6,119.8,2021,tuna_purse_seines,1,0.41
21.2,123.4,2021,drifting_longlines,1,0
18.7,118.9,2021,drifting_longlines,1,1.8
14.1,119.9,2021,tuna_purse_seines,2,4.34
14.2,119.7,2021,fishing,1,0.85
20.7,125.6,2021,drifting_longlines,1,1.15
5.2,125.3,2021,tuna_purse_seines,1,0.26
19.8,123.2,2022,drifting_longlines,2,23.05
17.3,116.5,2022,fishing,1,0.88
21.9,124.2,2022,drifting_longlines,2,1.02
16.6,117.4,2022,drifting_longlines,1,29.57
18.7,119.9,2022,drifting_longlines,3,13.97
19.5,122.8,2022,drifting_longlines,2,1.26
5.6,124.9,2022,tuna_purse_seines,1,4.45
9,124.3,2022,drifting_longlines,1,15.99
20,119.6,2022,fishing,1,0.76
21.4,121.8,2022,fishing,2,10.75
20.4,124.9,2022,drifting_longlines,2,19.6
22,123,2022,drifting_longlines,34,110.85
19.2,119.2,2022,drifting_longlines,6,24.75
20.9,123.3,2022,drifting_longlines,6,12.48
18.4,118.9,2022,drifting_longlines,2,5.66
20.4,120.4,2022,fishing,1,1.38
20.7,120.8,2022,drifting_longlines,8,19.79
14.3,119.5,2022,drifting_longlines,1,7.35
19.4,118.8,2022,drifting_longlines,6,14.45
14.2,120.3,2022,drifting_longlines,2,2.18
6.2,126.7,2022,tuna_purse_seines,1,0.25
14,116.7,2022,drifting_longlines,1,0.51
21.9,123.4,2022,drifting_longlines,13,45.69
21.5,121.7,2022,fixed_gear,1,1.03
20.9,121.2,2022,drifting_longlines,12,52.53
5.3,125.5,2022,other_purse_seines,1,23.22
21.5,122.3,2022,set_longlines,1,4.43
12.8,118.7,2022,drifting_longlines,1,10.03
20.7,122.7,2022,drifting_longlines,14,51.16
21.4,122.5,2022,drifting_longlines,46,212.11
15.6,116.8,2022,drifting_longlines,1,7.57
19.3,125.5,2022,drifting_longlines,1,0.35
21.5,122.2,2022,fishing,4,9.21
20.2,120.2,2022,drifting_longlines,23,84.35
20,119.3,2022,drifting_longlines,9,46.14
20.4,123.7,2022,drifting_longlines,3,11.54
21.7,122.2,2022,fishing,4,34.32
21.3,121.6,2022,fishing,4,11.78
16.7,116.6,2022,trawlers,1,3.07
21.4,121.9,2022,drifting_longlines,30,48.12
19.6,123.1,2022,drifting_longlines,1,1.27
19.5,120.7,2022,drifting_longlines,1,10.81
19.7,119.8,2022,drifting_longlines,7,22.34
17.6,117.3,2022,drifting_longlines,2,5.38
16.9,119.1,2022,tuna_purse_seines,1,2.43
21.2,122.4,2022,drifting_longlines,21,170.29
20.9,124,2022,drifting_longlines,1,2.81
18.9,119.4,2022,pole_and_line,1,5.37
21.6,122.5,2022,set_longlines,1,6.86
21.7,122.6,2022,set_longlines,1,3.01
21.3,122.5,2022,fishing,1,0
21.9,123.1,2022,drifting_longlines,26,140.3
20.4,120.8,2022,drifting_longlines,7,38.38
16.6,116.4,2022,drifting_longlines,3,9.5
18.7,118.9,2022,drifting_longlines,2,3.48
20.2,123.3,2022,drifting_longlines,3,9.12
19.4,118.8,2022,fishing,1,7.25
14.7,120.2,2022,fishing,2,0.68
20.3,120,2022,fishing,1,12.35
20.1,119.6,2022,drifting_longlines,15,54.76
15.3,125.9,2022,inconclusive,1,0.99
19.9,119.2,2022,drifting_longlines,12,35.37
21.3,121.9,2022,fixed_gear,1,7.43
17.5,117.6,2022,drifting_longlines,1,2.47
21.3,122.4,2022,fishing,1,14.18
16.5,116.3,2022,trawlers,1,5.93
21.4,121.6,2022,drifting_longlines,25,66.98
19.6,123.4,2022,drifting_longlines,1,0.77
6.1,126.1,2022,drifting_longlines,1,1
16.5,116.8,2022,drifting_longlines,2,4.99
20.2,125,2022,drifting_longlines,1,15.16
19.5,120.1,2022,pole_and_line,1,14.35
20.2,119.3,2022,fishing,1,2.87
19.8,120.5,2022,trawlers,1,7.41
6.7,125.7,2022,drifting_longlines,1,4.2
14.2,119.2,2022,inconclusive,1,1.2
21.4,123.5,2022,drifting_longlines,5,28.98
16.9,116.5,2022,pole_and_line,1,10.4
13.3,119.9,2022,tuna_purse_seines,1,8.66
18.4,118.6,2022,drifting_longlines,7,35.84
20.4,124.6,2022,drifting_longlines,1,0
17.5,116.9,2022,drifting_longlines,2,25.77
6.5,126.8,2022,drifting_longlines,1,2.53
14.5,116.5,2022,drifting_longlines,1,20.45
19.8,120.4,2022,trawlers,1,14.85
21.7,122.5,2022,drifting_longlines,71,517.16
11.8,121.4,2022,inconclusive,1,0.79
